period,title,description,url,published_at,source_name,author,url_to_image
present_to_2weeks,Russia might be responsible for the PACER hack,"Just a few days after administrators announced that the “federal Judiciary is taking additional steps to strengthen protections for sensitive case documents in response to recent escalated cyberattacks,” the New York Times reports investigators have found evi…",https://www.theverge.com/law/758440/federal-courts-hacked-pacer-cm-ecf-russia,2025-08-12T23:18:29Z,The Verge,Richard Lawler,https://platform.theverge.com/wp-content/uploads/sites/2/2025/08/STK432_Government__CVirginia_C.jpg?quality=90&strip=all&crop=0%2C10.732984293194%2C100%2C78.534031413613&w=1200
present_to_2weeks,US demands cut of Nvidia sales in order to ship AI chips to China,"The Trump administration has ordered Nvidia and AMD to pay the federal government a 15 percent cut of their AI chip sales revenue to China, according to reports from The New York Times and The Financial Times. Nvidia CEO Jensen Huang reportedly reached an agr…",https://www.theverge.com/news/757428/donald-trump-nvidia-amd-ai-chip-sales-china,2025-08-11T14:54:48Z,The Verge,Emma Roth,https://platform.theverge.com/wp-content/uploads/sites/2/2025/08/gettyimages-2212801534.jpg?quality=90&strip=all&crop=0%2C10.728827733894%2C100%2C78.542344532213&w=1200
present_to_2weeks,The Browser Company’s AI browser now has a $20 subscription,"The Browser Company — the makers of the Arc browser — just launched a $20 per month subscription to its new AI-powered web browser, Dia, as reported earlier by TechCrunch. The new Dia Pro subscription comes with unlimited access to the browser’s chat feature,…",https://www.theverge.com/news/756427/browser-company-dia-pro-ai-pricing,2025-08-07T21:30:34Z,The Verge,Emma Roth,https://platform.theverge.com/wp-content/uploads/sites/2/2025/06/CleanShot-2025-06-11-at-08.38.39%402x.png?quality=90&strip=all&crop=0%2C14.118071854125%2C100%2C71.763856291749&w=1200
present_to_2weeks,What is Laura Loomer?,"For the uninitiated, watching a Jeffrey Epstein truther such as Laura Loomer have such influence over the White House's decisions is nothing short of baffling. ABC News attributes ""the ouster of at least 15 individuals from Trump's second administration"" to L…",https://www.theverge.com/politics/756411/laura-loomer-explainer-maga-trump,2025-08-08T13:51:24Z,The Verge,Tina Nguyen,https://platform.theverge.com/wp-content/uploads/sites/2/2025/08/257881_Laura_Loomer_CVirginia_D.jpg?quality=90&strip=all&crop=0%2C10.732984293194%2C100%2C78.534031413613&w=1200
present_to_2weeks,Tesla Ordered to Pay More Than $200 Million Over Fatal Autopilot Crash,The company was found partially liable.,https://gizmodo.com/tesla-ordered-to-pay-more-than-200-million-over-fatal-autopilot-crash-2000637996,2025-08-01T20:35:44Z,Gizmodo.com,AJ Dellinger,https://gizmodo.com/app/uploads/2024/05/69e775cd3e32cf4af542762a678be4b6.jpg
present_to_2weeks,Add the Tesla Diner to the List of Elon Musk Projects That Fail to Deliver on Promises,What's the opposite of the Midas touch?,https://gizmodo.com/add-the-tesla-diner-to-the-list-of-elon-musk-projects-that-fail-to-deliver-on-promises-2000640715,2025-08-08T17:55:31Z,Gizmodo.com,AJ Dellinger,https://gizmodo.com/app/uploads/2025/08/GettyImages-2224039901-1200x675.jpg
present_to_2weeks,"Today's NYT Mini Crossword Answers for Thursday, Aug. 7","Here's today's NYT Mini Crossword answer. These answers will help you solve New York Times' popular crossword game, Mini Crossword, every day!",https://www.cnet.com/tech/gaming/todays-nyt-mini-crossword-answers-for-thursday-aug-7/,2025-08-07T03:35:56Z,CNET,Gael Cooper,https://www.cnet.com/a/img/resize/4a7dc34963db8f9a51abae1ab77ec99b498be36f/hub/2024/07/25/50d61b9b-1c76-4678-9a92-f6eca531f4a8/nyt-mini-crossword-234876.jpg?auto=webp&fit=crop&height=675&width=1200
present_to_2weeks,"Today's NYT Connections: Sports Edition Hints and Answers for Aug. 4, #315","Here's today's Connections: Sports Edition answer and hints for groups. These clues will help you solve The New York Times' popular puzzle game, Connections: Sports Edition, every day.",https://www.cnet.com/tech/gaming/todays-nyt-connections-sports-edition-hints-and-answers-for-aug-4-315/,2025-08-04T03:30:40Z,CNET,Gael Cooper,https://www.cnet.com/a/img/resize/b6a176556f33d8a7a6d33d6575c828a27a02cb83/hub/2024/10/16/c34cfc41-01f2-4b1a-80a8-f6479c50c02e/connections-sports-edition-6859.jpg?auto=webp&fit=crop&height=675&width=1200
present_to_2weeks,"Today's NYT Mini Crossword Answers for Sunday, Aug. 3","Here's today's NYT Mini Crossword answer. These answers will help you solve New York Times' popular crossword game, Mini Crossword, every day!",https://www.cnet.com/tech/gaming/todays-nyt-mini-crossword-answers-for-sunday-aug-3/,2025-08-03T03:29:19Z,CNET,Gael Cooper,https://www.cnet.com/a/img/resize/4a7dc34963db8f9a51abae1ab77ec99b498be36f/hub/2024/07/25/50d61b9b-1c76-4678-9a92-f6eca531f4a8/nyt-mini-crossword-234876.jpg?auto=webp&fit=crop&height=675&width=1200
present_to_2weeks,"Today's NYT Connections: Sports Edition Hints and Answers for Aug. 6, #317","Here's today's Connections: Sports Edition answer and hints for groups. These clues will help you solve The New York Times' popular puzzle game, Connections: Sports Edition, every day.",https://www.cnet.com/tech/gaming/todays-nyt-connections-sports-edition-hints-and-answers-for-aug-6-317/,2025-08-05T22:37:00Z,CNET,Gael Cooper,https://www.cnet.com/a/img/resize/b6a176556f33d8a7a6d33d6575c828a27a02cb83/hub/2024/10/16/c34cfc41-01f2-4b1a-80a8-f6479c50c02e/connections-sports-edition-6859.jpg?auto=webp&fit=crop&height=675&width=1200
present_to_2weeks,Trump Media Is Testing an AI Search Engine Powered by Perplexity,"The president's media company is beta-testing Truth Search AI, but will the results lean toward conservative opinions?",https://www.cnet.com/tech/services-and-software/trump-media-is-testing-an-ai-search-engine-powered-by-perplexity/,2025-08-07T00:35:09Z,CNET,Gael Cooper,https://www.cnet.com/a/img/resize/5e4893c53a858f013d3e1ea56a7f3b88cee4af20/hub/2025/08/06/b02d8db0-d174-4663-8797-d9915b733d2b/donald-trump-gettyimages-2227409013.jpg?auto=webp&fit=crop&height=675&width=1200
present_to_2weeks,"I tried cooking on Traeger's newest flat-top griddle — it's pricey, but so worth it",The Traeger Flatrock 2 Zone griddle delivers even heat and durable design in a compact size. Here's what it's like to cook on and why it's worth $799.,https://www.businessinsider.com/guides/kitchen/traeger-flatrock-2-zone-review,2025-08-05T16:55:02Z,Business Insider,insider@insider.com (Tyler Hayes),https://i.insider.com/6892285c3d5881a51c1ea000?width=1200&format=jpeg
present_to_2weeks,"DHS took 5 days to fund Texas flooding hotline, federal records show","Funding for FEMA's disaster survivor hotline lapsed the day after the Texas floods, federal records show. It took DHS Secretary Kristi Noem five days to approve more money.",https://www.npr.org/2025/08/07/nx-s1-5489682/fema-call-center-dhs-funding-texas-floods,2025-08-07T09:00:00Z,NPR,Rebecca Hersher,https://npr.brightspotcdn.com/dims3/default/strip/false/crop/4000x2250+0+209/resize/1400/quality/100/format/jpeg/?url=http%3A%2F%2Fnpr-brightspot.s3.amazonaws.com%2Fb8%2F40%2Fca257d354b328079dd2a76eb4106%2Fgettyimages-2223690715.jpg
present_to_2weeks,Why lung cancer is a 'hidden epidemic' in this part of the world,"Rates of the world's deadliest cancer appear to be low in sub-Saharan Africa. But that statistic is masking the scope of the disease, doctors say.",https://www.npr.org/sections/goats-and-soda/2025/08/12/g-s1-77203/lung-cancer-africa,2025-08-12T11:24:25Z,NPR,Simar Bajaj,https://npr.brightspotcdn.com/dims3/default/strip/false/crop/2506x1410+0+0/resize/1400/quality/100/format/jpeg/?url=http%3A%2F%2Fnpr-brightspot.s3.amazonaws.com%2Fef%2F31%2Fa9d029334e7bb1f62f9fb6e3f464%2Flung-cancer-16x9-crop-1.jpg
present_to_2weeks,Russia Is Suspected To Be Behind Breach of Federal Court Filing System,"ole_timer shares a report from the New York Times: Investigators have uncovered evidence that Russia is at least partly responsible for a recent hack of the computer system that manages federal court documents, including highly sensitive records with informat…",https://yro.slashdot.org/story/25/08/12/213252/russia-is-suspected-to-be-behind-breach-of-federal-court-filing-system,2025-08-13T00:02:00Z,Slashdot.org,BeauHD,https://a.fsdn.com/sd/topics/court_64.png
present_to_2weeks,"'Goodbye, $165,000 Tech Jobs. Student Coders Seek Work At Chipotle.'","theodp writes: The New York Times reports from the CS grad job-seeking trenches: Growing up near Silicon Valley, Manasi Mishra remembers seeing tech executives on social media urging students to study computer programming. ""The rhetoric was, if you just learn…",https://news.slashdot.org/story/25/08/11/1610211/goodbye-165000-tech-jobs-student-coders-seek-work-at-chipotle,2025-08-11T16:10:00Z,Slashdot.org,msmash,https://a.fsdn.com/sd/topics/business_64.png
