period,title,description,url,published_at,source_name,author,url_to_image
2_weeks,Andreessen Horowitz fled Delaware and moved to Nevada. It's more about vibes than substance.,Andreessen Horowitz moved its main business entities to Nevada — but the Delaware laws that a16z critiqued didn't really apply to it.,https://www.businessinsider.com/a16z-dexit-nevada-llc-corporate-law-differences-2025-8,2025-08-05T19:41:02Z,Business Insider,Jack Newsham,https://i.insider.com/689246da3d5881a51c1ea43d?width=1200&format=jpeg
2_weeks,The future of AI might be hiding in a tool you already use every day,New AI-native web browsers integrate with digital tools such as Gmail and perform complex tasks without user prompts.,https://www.businessinsider.com/tech-memo-future-ai-web-browser-agents-comet-preplexity-2025-8,2025-08-01T16:37:23Z,Business Insider,Alistair Barr,https://i.insider.com/688ce4d93d5881a51c1e7393?width=1200&format=jpeg
2_weeks,Here's who's getting rich from Figma's blockbuster IPO,Design software company Figma just went public in the hottest IPO of the year. Here's what its biggest investors' stakes are worth.,https://www.businessinsider.com/who-got-rich-on-figma-ipo-2025-7,2025-07-31T21:42:53Z,Business Insider,"Rebecca Torrence,Geoff Weiss",https://i.insider.com/688be2483d5881a51c1e6790?width=1200&format=jpeg
2_weeks,"Source: data-labeling startup Surge AI is in talks with a16z, Warburg Pincus, and others to raise $1B in its first funding round at a valuation of at least $25B (Rachel Metz/Bloomberg)","Rachel Metz / Bloomberg:
Source: data-labeling startup Surge AI is in talks with a16z, Warburg Pincus, and others to raise $1B in its first funding round at a valuation of at least $25B  —  Surge AI, a leading data-labeling startup, is in talks to raise about…",https://www.techmeme.com/250730/p45,2025-07-30T22:05:00Z,Techmeme.com,,https://assets.bwbx.io/images/users/iqjWHBFdfxIU/itkWwdsNMfbI/v0/1200x488.jpg
2_weeks,"AI tools won't get products out faster, but they'll solve 2 coding problems, says a16z partner","AI isn't making developers faster, says a16z partner Martin Casado — but it is improving code quality and making coding fun again.",https://www.businessinsider.com/ai-tools-product-development-coding-engineers-a16z-partner-2025-7,2025-07-29T05:58:49Z,Business Insider,cmlee@insider.com (Lee Chong Ming),https://i.insider.com/68884573f748d8c055f66bb2?width=1200&format=jpeg
2_weeks,‘Chokepoint 3.0’ Has Arrived? a16z Warns of Anti-Crypto Bank Tactics,"Big banks are making it harder and more expensive for consumers to use fintech and crypto apps, which amounts to what could be seen as ""Operation Chokepoint 3.0.""
That’s according to Alex Rampell, General Partner at venture capital firm Andreessen Horowitz (a…",https://biztoc.com/x/b34d27de7863f637,2025-08-02T18:29:01Z,Biztoc.com,coindesk.com,https://biztoc.com/cdn/b34d27de7863f637_s.webp
2_weeks,‘Chokepoint 3.0’ Has Arrived? a16z Warns of Anti-Crypto Bank Tactics,"This tactic could strangle competition by making it more costly for users to transfer funds to alternative platforms, a16z's general partner argued.",https://www.coindesk.com/business/2025/08/02/chokepoint-3-0-has-arrived-a16z-warns-of-anti-crypto-bank-tactics,2025-08-02T18:00:47Z,CoinDesk,Francisco Rodrigues,https://cdn.sanity.io/images/s3y3vcno/production/d4b7379ee7714cc178bedbe0048ebff4bd3e7da0-720x406.jpg
2_weeks,Crypto startups raise $92 million as investors bet big on AI and Web3,"Crypto startups raised a combined $92 million this week, according to data from DefiLlama. This brings the total crypto startup funding in 2025 to $11.1 billion, already 60% of Pitchbook’s forecast for the year. Venture capitalists are spreading their bets ac…",https://techpinions.com/crypto-startups-raise-92-million-as-investors-bet-big-on-ai-and-web3/,2025-08-04T20:39:00Z,Techpinions.com,Michael Ebeling,
2_weeks,Andreessen Horowitz warns of loopholes in draft crypto rules,"Venture capital firm Andreessen Horowitz urged US lawmakers to drop the “ancillary asset” framework from proposed crypto rules, warning it risks opening new loopholes.",https://cointelegraph.com/news/a16z-to-senate-drop-the-ancillary-asset-loophole-pass-clarity-instead,2025-08-01T11:16:20Z,Cointelegraph,Cointelegraph by Adrian Zmudzinski,"https://images.cointelegraph.com/cdn-cgi/image/format=auto,onerror=redirect,quality=90,width=1200/https://s3.cointelegraph.com/uploads/2024-12/0193b63a-0663-7440-bc6f-a0b673603f8a"
2_weeks,DeFi Education Fund urges Senate to strengthen crypto dev protections in draft bill,DeFi Education Fund called on the Senate Banking Committee to frame a key crypto market bill in a more tech-neutral way and strengthen crypto developer protections in a recent letter.,https://cointelegraph.com/news/defi-education-fund-gives-feedback-to-senators-on-crypto-bill,2025-08-02T01:39:14Z,Cointelegraph,Cointelegraph by Brayden Lindrea,"https://images.cointelegraph.com/cdn-cgi/image/format=auto,onerror=redirect,quality=90,width=1200/https://s3.cointelegraph.com/uploads/2025-07/01982909-dcbb-76b9-886d-8a3c30171011"
2_weeks,SEC’s crypto task force to hit the road with 10 roundtables across the US,"On Friday, the United States Securities and Exchange Commission announced that its crypto task force will hold roundtable discussions in 10 cities across the country.",https://cointelegraph.com/news/sec-crypto-task-force-10-roundtables-across-us,2025-08-01T21:32:12Z,Cointelegraph,Cointelegraph by Christopher Tepedino,"https://images.cointelegraph.com/cdn-cgi/image/format=auto,onerror=redirect,quality=90,width=1200/https://s3.cointelegraph.com/uploads/2025-03/0195d01e-9cb1-7d96-96cd-76891983181f"
2_weeks,Travel guru The Points Guy wants to revamp the luxury travel points system with Journey,Inside the startup’s $7.7 million seed round led by Lerer Hippeau and Slow Ventures.,https://fortune.com/2025/08/04/the-points-guy-lerer-hippeau-slow-ventures-journey-travel-ai/,2025-08-04T11:52:13Z,Fortune,Leo Schwartz,"https://fortune.com/img-assets/wp-content/uploads/2025/08/Journey-Launch-Event-at-The-Fifth-Avenue-HotelPhotobywww.jonflemingphotography.com-155-e1754271422435.jpg?resize=1200,600"
2_weeks,Andreessen Horowitz is looking to pay $400K+ for a leader to build out a podcast network,"Andreessen Horowitz is hunting for a podcast leader, the latest step in its longtime strategy to sidestep the mainstream press and publish content.",https://www.businessinsider.com/andreessen-horowitz-looking-to-hire-build-podcast-network-2025-7,2025-07-29T15:59:03Z,Business Insider,lmoses@insider.com (Lucia Moses),https://i.insider.com/6887da2385e81483682ecdb9?width=1200&format=jpeg
