Name,Finder URL,Description,Primary Sector,Founded,Employees,Funding Stage,Raised,Notes,Group,Group description
="Ruby Health",="https://finder.startupnationcentral.org/company_page/ruby-health",="Value-based Care at Home",="Health Tech & Life Sciences",="2024",="1-10",="Seed",="Undisclosed",="",="",="",
="Seegnal eHealth",="https://finder.startupnationcentral.org/company_page/seegnal-ehealth",="Patient-tailored Medicine Related Problems prevention platform.",="Health Tech & Life Sciences",="2015",="11-50",="Seed",="Undisclosed",="",="",="",
="Senseera Health",="https://finder.startupnationcentral.org/company_page/senseera-health",="A Single Blood Test for Broad Monitoring of Human Health.",="Health Tech & Life Sciences",="2020",="11-50",="Seed",="$7.1M",="",="",="",
="Sensifai Health",="https://finder.startupnationcentral.org/company_page/sensifai-health",="AI for Preemptive Digital Care",="Health Tech & Life Sciences",="2024",="1-10",="Seed",="Undisclosed",="",="",="",
="Shela Health ",="https://finder.startupnationcentral.org/company_page/shela-health",="Precision Women's Health Platform ",="Health Tech & Life Sciences",="2023",="1-10",="Seed",="$1M",="",="",="",
="Simplivia Healthcare",="https://finder.startupnationcentral.org/company_page/simplivia-healthcare",="Closed-system Transfer Device for Safe Compounding and Administration",="Health Tech & Life Sciences",="2019",="51-200",="Acquired",="Undisclosed",="",="",="",
="Soly Emotional Health",="https://finder.startupnationcentral.org/company_page/soly-emotional-health",="AI & Community Supporting Post Trauma Recovery",="Health Tech & Life Sciences",="2021",="1-10",="Pre-Funding",="Undisclosed",="",="",="",
="Ummanu Health",="https://finder.startupnationcentral.org/company_page/ummanu-health",="Enterprise Telemedicine Platform",="Health Tech & Life Sciences",="2016",="11-50",="Pre-Funding",="Undisclosed",="",="",="",
="Unlock Healthcare",="https://finder.startupnationcentral.org/company_page/unlock-healthcare",="Personalized Medicines and Plant-Based Innovation",="Health Tech & Life Sciences",="2022",="11-50",="Pre-Seed",="$1M",="",="",="",
="Valera Health",="https://finder.startupnationcentral.org/company_page/valera-health",="Comprehensive Behavioral Health Solution",="Health Tech & Life Sciences",="2015",="201-500",="A",="$79.82M",="",="",="",
="Watch My Health",="https://finder.startupnationcentral.org/company_page/watch-my-health",="Remote Monitoring Solution for Seniors",="Health Tech & Life Sciences",="2020",="1-10",="Pre-Funding",="Undisclosed",="",="",="",
="WISDO HEALTH",="https://finder.startupnationcentral.org/company_page/wisdo-health",="Social Health Platform",="Health Tech & Life Sciences",="2018",="11-50",="A",="$15.6M",="",="",="",
="Wotch Health",="https://finder.startupnationcentral.org/company_page/wotch-health",="Primary Care Optimization Platform",="Health Tech & Life Sciences",="2021",="11-50",="Pre-Funding",="Undisclosed",="",="",="",
="XRHealth",="https://finder.startupnationcentral.org/company_page/vrphysio",="Virtual Clinic for Rehabilitation and Therapeutic Care",="Health Tech & Life Sciences",="2016",="51-200",="A",="$37.73M",="",="",="",
="Zenday Health",="https://finder.startupnationcentral.org/company_page/zenday-health",="A Fresh Approach to Healthy Eating",="Health Tech & Life Sciences",="2023",="1-10",="Pre-Funding",="Undisclosed",="",="",="",
