period,title,description,url,published_at,source_name,author,url_to_image
2_weeks,Still Using Windows 10? Here's How to Get Another Year of Updates for Free,"If you're not ready to upgrade, you can still get security updates until October 2026 by enrolling in Microsoft's ESU program.",https://www.wired.com/story/still-using-windows-10-heres-how-to-get-another-year-of-updates-for-free/,2025-07-31T18:15:00Z,Wired,"Andrew Cunningham, Ars Technica","https://media.wired.com/photos/688b97d700f13e7926de803f/191:100/w_1280,c_limit/Ars-Windows-10-Gear-1237969502.jpg"
2_weeks,What Happens to Your Data If You Stop Paying for Cloud Storage?,Hit by subscription fatigue? Here’s what happens to your files and photos if you cancel your paid storage plan.,https://www.wired.com/story/what-happens-to-your-data-if-you-stop-paying-for-cloud-storage/,2025-08-03T11:30:00Z,Wired,David Nield,"https://media.wired.com/photos/6887e5513ae3db1cc4b9a48d/191:100/w_1280,c_limit/cloud-storage-delete-gear-840464884-1400133161.jpg"
2_weeks,Age Verification Laws Send VPN Use Soaring—and Threaten the Open Internet,A law requiring UK internet users to verify their age to access adult content has led to a huge surge in VPN downloads—and has experts worried about the future of free expression online.,https://www.wired.com/story/vpn-use-spike-age-verification-laws-uk/,2025-07-29T10:30:00Z,Wired,"Lily Hay Newman, Matt Burgess","https://media.wired.com/photos/6887b871fa9e0204bc4390aa/191:100/w_1280,c_limit/vpn-porn-age-check-sec-183821813.jpg"
2_weeks,Opera is filing a complaint against Microsoft’s tricks that push you to use Edge,"Microsoft has used a variety of tricks to convince people to keep using the defaults of Bing and Microsoft Edge in Windows over the years, including modifying Chrome download sites and using malware-like popups. Now, Opera is fed up with what it calls Microso…",https://www.theverge.com/news/715082/opera-microsoft-competition-complaint-edge-windows-tricks,2025-07-29T20:20:27Z,The Verge,Tom Warren,https://platform.theverge.com/wp-content/uploads/sites/2/2025/07/STK148_Microsoft_Edge_2.jpg?quality=90&strip=all&crop=0%2C10.732984293194%2C100%2C78.534031413613&w=1200
2_weeks,Microsoft’s Windows XP Crocs are no joke,Microsoft isn't done celebrating its 50th anniversary just yet. Multiple employees tell me that Microsoft has created limited edition Windows XP-themed Crocs. They even come with a Clippy shoe charm if the Bliss wallpaper on your feet wasn't enough 50-year no…,https://www.theverge.com/microsoft/717965/microsoft-crocs-windows-xp-bliss-wallpaper-theme,2025-08-05T10:40:42Z,The Verge,Tom Warren,https://platform.theverge.com/wp-content/uploads/sites/2/2025/08/crocswindowsxp.jpg?quality=90&strip=all&crop=0%2C10.732984293194%2C100%2C78.534031413613&w=1200
2_weeks,"Microsoft reports strong cloud earnings, with Windows and Xbox up too","Microsoft just posted the fourth and final quarter of its 2025 fiscal financial results. The software maker made $76.4 billion in revenue and a net income of $27.2 billion during Q4. Revenue is up 18 percent, and net income has increased by 24 percent. Like c…",https://www.theverge.com/news/716191/microsoft-q4-2025-earnings-revenue-profits-windows-xbox-gaming-surface,2025-07-30T20:22:20Z,The Verge,Tom Warren,https://platform.theverge.com/wp-content/uploads/sites/2/2025/01/STK095_MICROSOFT_STOCKS_CVirginia_D.jpg?quality=90&strip=all&crop=0%2C10.732984293194%2C100%2C78.534031413613&w=1200
2_weeks,Microsoft is getting ready for GPT-5 with a new Copilot smart mode,"I reported last week that OpenAI is planning to launch GPT-5 in early August, as part of an effort to simplify and combine its large language models. Just a day after my report, references to GPT-5 were spotted inside Microsoft's Copilot web app, hinting at a…",https://www.theverge.com/notepad-microsoft-newsletter/715849/microsoft-copilot-smart-mode-testing-notepad,2025-07-30T14:15:59Z,The Verge,Tom Warren,https://platform.theverge.com/wp-content/uploads/sites/2/2025/07/copilotsmartmode.jpg?quality=90&strip=all&crop=0%2C10.732984293194%2C100%2C78.534031413613&w=1200
2_weeks,"Microsoft is killing off Windows 11 SE, its Chrome OS competitor","Microsoft is ending support for Windows 11 SE next year, five years after it launched the operating system on low-cost laptops that were designed to compete with Google Chromebooks. Windows 11 SE was only available on devices for education customers, such as …",https://www.theverge.com/news/717253/microsoft-windows-11-se-chrome-os-competitor-end-of-support,2025-08-01T12:22:53Z,The Verge,Tom Warren,https://platform.theverge.com/wp-content/uploads/sites/2/2025/08/windows11se.jpg?quality=90&strip=all&crop=0%2C10.732984293194%2C100%2C78.534031413613&w=1200
2_weeks,8BitDo’s first wireless Xbox controller is a surprise Rare collaboration,"8BitDo has created its first wireless Xbox controller in partnership with Rare, a game studio acquired by Microsoft. The officially licensed controller features a gold and blue design, with plenty of Easter eggs to celebrate Rare’s 40th anniversary. The $89.9…",https://www.theverge.com/news/717994/8bitdo-wireless-xbox-controller-rare-40th-anniversary-edition,2025-08-04T13:02:37Z,The Verge,Tom Warren,https://platform.theverge.com/wp-content/uploads/sites/2/2025/08/Hero-Ultimate-3-mode-Controller-for-Xbox-Rare-40th-Anniversary-Edition-1.jpg?quality=90&strip=all&crop=0%2C10.76363770124%2C100%2C78.472724597521&w=1200
2_weeks,Adobe releases Windows on Arm versions of Premiere Pro and After Effects,"Adobe is finally releasing Windows on Arm versions of Premiere Pro, After Effects, Audition, and Media Encoder this week. All four apps are available as public beta versions, but they do lack some features or have some known issues compared to the versions av…",https://www.theverge.com/news/715769/adobe-windows-on-arm-premiere-pro-after-effects-beta-release,2025-07-30T13:03:20Z,The Verge,Tom Warren,https://platform.theverge.com/wp-content/uploads/sites/2/2025/02/26ud9N4TvdWwra8lXJd7KK2O2NlgIQHmShp5zbBz8Ao.jpeg?quality=90&strip=all&crop=0%2C10.732984293194%2C100%2C78.534031413613&w=1200
2_weeks,"Google has just two weeks to begin cracking open Android, it admits in emergency filing","Yesterday, when Epic won its Google antitrust lawsuit for a second time, it wasn’t quite clear how soon Google would need to start dismantling its affirmed illegal monopoly. Today, Google admits the answer is: 14 days. Google has just 14 days to enact major c…",https://www.theverge.com/news/717440/google-epic-open-play-store-emergency-stay,2025-08-01T16:51:29Z,The Verge,Sean Hollister,https://platform.theverge.com/wp-content/uploads/sites/2/2025/08/STKS487_Antitrust_STK093_Google_A.jpg?quality=90&strip=all&crop=0%2C10.732984293194%2C100%2C78.534031413613&w=1200
2_weeks,Lenovo’s rollable laptop is the coolest computer I’ve used all year,"Part of me still can't believe it, but Lenovo did the thing: it took a bonkers concept for a laptop with a rollable screen and built the tech into something you can actually own and use like a normal computer. Except, as conventional as the ThinkBook Plus Gen…",https://www.theverge.com/reviews/717491/lenovo-thinkbook-plus-gen-6-rollable-laptop-review,2025-08-03T02:14:18Z,The Verge,Antonio G. Di Benedetto,https://platform.theverge.com/wp-content/uploads/sites/2/2025/07/257861_Lenovo_ThinkBook_Plus_Gen_6.gif?quality=90&strip=all&crop=0%2C10.732984293194%2C100%2C78.534031413613&w=1200
2_weeks,Microsoft Needs to Make Affordable 5G Surface Laptops a Reality,People other than rich execs need quality cellular connectivity built into laptops too.,https://gizmodo.com/microsoft-needs-to-make-affordable-5g-surface-laptops-a-reality-2000637802,2025-08-01T15:20:14Z,Gizmodo.com,Kyle Barr,https://gizmodo.com/app/uploads/2025/08/New-Surface-Laptop-5G-for-Business-Copilot-PC-1200x675.jpg
2_weeks,Apple’s Tim Cook Talks Trump Tariffs and AI,Apple and other tech giants reported their quarterly earnings this week,https://gizmodo.com/apples-tim-cook-talks-trump-tariffs-and-ai-2000637963,2025-08-01T19:05:13Z,Gizmodo.com,Bruce Gil,https://gizmodo.com/app/uploads/2022/06/fe7250d6d7c67921925509ee5f62008e.jpg
2_weeks,Apple CEO Tim Cook Calls AI ‘Bigger Than the Internet’ in Rare All-Hands Meeting,Can Apple catch up to peers in the AI race? Tim Cook seems to think so.,https://gizmodo.com/apple-ceo-tim-cook-calls-ai-bigger-than-the-internet-in-rare-all-hands-meeting-2000638858,2025-08-04T23:04:02Z,Gizmodo.com,Ece Yildirim,https://gizmodo.com/app/uploads/2023/05/9f6d1466d337843b26c2eb098265c9c2.jpg
2_weeks,DOJ Has a Copy of the Epstein Jail Video With the ‘Missing Minute’: Report,Pam Bondi previously said every video from that jail is missing a minute but didn't provide proof.,https://gizmodo.com/doj-has-a-copy-of-the-epstein-jail-video-with-the-missing-minute-report-2000636083,2025-07-29T18:00:24Z,Gizmodo.com,Matt Novak,https://gizmodo.com/app/uploads/2025/07/pam-bondi-protest-sign-july-17-2025-1200x675.jpg
2_weeks,The Epic Games 'total victory' doesn't mean as much as it wants you to think,"Google needed to lose this one. That doesn't mean anybody wins or that anything will make a difference, unless you're an app developer.",https://www.androidcentral.com/apps-software/epic-games-total-victory-doesnt-mean-as-much-as-it-wants-you-to-think,2025-08-02T15:00:00Z,Android Central,"jerry.hildenbrand@futurenet.com (Jerry Hildenbrand) , Jerry Hildenbrand",https://cdn.mos.cms.futurecdn.net/k7c2VW8eHbWtSaCgzLAa4P.jpeg
2_weeks,Samsung's smartphone success stood out even as Q2 profits take a 55% hit,"Samsung’s Q2 2025 results remind us it’s still a powerhouse, just one that's in a whole lot of trouble.",https://www.androidcentral.com/phones/samsung-galaxy/samsungs-smartphone-success-stood-out-even-as-q2-profits-take-a-55-percent-hit,2025-07-31T12:37:38Z,Android Central,"techkritiko@gmail.com (Jay Bonggolto) , Jay Bonggolto",https://cdn.mos.cms.futurecdn.net/HssvJK6hy6FGRuF6cvyiAF.jpg
2_weeks,"Motorola is so close to getting mobile AI right, but there's still work to do","Moto AI uses a mix of all the best models and services to make sure the user gets the best experience. With a little refinement, it could be the best.",https://www.androidcentral.com/apps-software/ai/motorola-is-so-close-to-getting-mobile-ai-right-but-theres-still-work-to-do,2025-08-04T18:00:00Z,Android Central,"bradypsnyder@gmail.com (Brady Snyder) , Brady Snyder",https://cdn.mos.cms.futurecdn.net/BMqJjBTVfREt8JUoCzNsnC.jpg
2_weeks,"People want VR headsets to look a lot more like smart glasses. Thankfully, Meta is already working on that","Meta's Reality Labs division posted another quarter of higher-than-expected Ray-Ban sales, and it's clear Meta has a winning formula on hand.",https://www.androidcentral.com/gaming/virtual-reality/smart-glasses-are-eating-vrs-lunch-and-metas-2025-earnings-are-the-proof,2025-07-31T20:08:19Z,Android Central,Nicholas Sutrich,https://cdn.mos.cms.futurecdn.net/ojMkb7D2Zaho8Vtds5FWgm.jpg
